Report_Num,Year,Occur_Date,Weekday,Location,Neighborho,Latitude,Longitude,GEOID,NAME
201910204,2020,7/9/2020,Thursday,1218 JOSEPH E BOONE BLVD NW,Bankhead,33.76361,-84.42783,13121,Fulton
201930408,2020,7/11/2020,Saturday,2137 LENOX RD NE,Lindridge/Martin Manor,33.81284,-84.3506,13121,Fulton
201940912,2020,7/12/2020,Sunday,3434 PEACHTREE RD NE,North Buckhead,33.85058,-84.36197,13121,Fulton
201940838,2020,7/12/2020,Sunday,3393 PEACHTREE RD NE @LENOX MALL,Lenox,33.84676,-84.36212,13121,Fulton
201940414,2020,7/12/2020,Sunday,200 EDGEWOOD AVE NE,Downtown,33.75479,-84.38102,13121,Fulton
201950947,2020,7/13/2020,Monday,735 JOSEPH E BOONE BLVD  NW,English Avenue,33.76352,-84.41155,13121,Fulton
201960468,2020,7/13/2020,Monday,102 OLLIE ST NW,Washington Park,33.75735,-84.4214,13121,Fulton
201950235,2020,7/13/2020,Monday,3200 STONE RD SW,Greenbriar,33.6697,-84.49403,13121,Fulton
201961171,2020,7/14/2020,Tuesday,460 GRIFFIN ST NW,English Avenue,33.76719,-84.41137,13121,Fulton
201971318,2020,7/15/2020,Wednesday,1734 HADLOCK ST SW,,33.70815,-84.44603,13121,Fulton
201990979,2020,7/16/2020,Thursday,600 GREENSFERRY AVE SW,The Villages at Castleberry Hill,33.74623,-84.40914,13121,Fulton
201981601,2020,7/16/2020,Thursday,SELLS AVE SW / PEEPLES ST SW,Harris Chiles,33.74536,-84.4205,13121,Fulton
201990424,2020,7/17/2020,Friday,866 MURPHY AVE SW @ADAIR II PARK,Adair Park,33.73207,-84.41184,13121,Fulton
202000662,2020,7/18/2020,Saturday,725 PONCE DE LEON AVE NE @KROGER - PONCE,Poncey-Highland,33.77343,-84.36351,13121,Fulton
202011228,2020,7/19/2020,Sunday,385 HOLLY DR SE,Orchard Knob,33.67512,-84.37703,13121,Fulton
202020635,2020,7/20/2020,Monday,901 BERNINULL AVE NE,Inman Park,33.76395,-84.35808,13121,Fulton
202020120,2020,7/20/2020,Monday,349 SPELMAN LN SW,The Villages at Castleberry Hill,33.74468,-84.40847,13121,Fulton
202020290,2020,7/20/2020,Monday,3000 CONTINENTAL COLONY PKWY SW,Greenbriar,33.68077,-84.4937,13121,Fulton
202030163,2020,7/21/2020,Tuesday,1917 PRYOR RD SW,Lakewood Heights,33.70213,-84.39915,13121,Fulton
202031154,2020,7/21/2020,Tuesday,2091 CAMPBELLTON RD SW,Adams Park,33.70675,-84.45688,13121,Fulton
202040191,2020,7/22/2020,Wednesday,2472 HOWELL MILL RD,Wildwood (NPU-C),33.82341,-84.41626,13121,Fulton
202071047,2020,7/23/2020,Thursday,134 BAKER ST NE @GOOSEBUMPS,Downtown,33.76241,-84.38307,13121,Fulton
202051401,2020,7/23/2020,Thursday,215 FORSYTH ST SW,Downtown,33.74892,-84.3968,13121,Fulton
202071125,2020,7/25/2020,Saturday,232 FORSYTH ST SW @GREYHOUND BUS DEPOT,Downtown,33.74852,-84.39636,13121,Fulton
202070387,2020,7/25/2020,Saturday,3010 CAMPBELLTON RD SW,Southwest,33.69533,-84.48665,13121,Fulton
202081265,2020,7/26/2020,Sunday,258 NELSON ST SW,Castleberry Hill,33.75174,-84.39644,13121,Fulton
202080497,2020,7/26/2020,Sunday,199 NORTHSIDE DR SW,Atlanta University Center,33.74928,-84.40479,13121,Fulton
202090863,2020,7/27/2020,Monday,1960 RAMBLING DR SW,Sylvan Hills,33.70056,-84.40509,13121,Fulton
202110989,2020,7/29/2020,Wednesday,1101 PONCE DE LEON AVE NE,Poncey-Highland,33.77374,-84.3514,13121,Fulton
202110754,2020,7/29/2020,Wednesday,1940 FISHER RD SE,Custer/McDonough/Guice,33.70979,-84.35849,13121,Fulton
202120189,2020,7/30/2020,Thursday,1025 N HIGHLAND AVE NE,Virginia Highland,33.7829,-84.35444,13121,Fulton
202121422,2020,7/30/2020,Thursday,960 CATO ST NW,Grove Park,33.78207,-84.4558,13121,Fulton
202130632,2020,7/31/2020,Friday,2591 PIEDMONT RD NE,Lindbergh/Morosgo,33.82494,-84.36684,13121,Fulton
202131543,2020,7/31/2020,Friday,181 PEACHTREE ST NE @RITZ,Downtown,33.75861,-84.3872,13121,Fulton
202130982,2020,7/31/2020,Friday,232 FORSYTH ST SW @GREYHOUND BUS DEPOT,Downtown,33.74852,-84.39636,13121,Fulton
202131131,2020,7/31/2020,Friday,1980 DELOWE DR SW,Campbellton Road,33.70106,-84.45698,13121,Fulton
202140189,2020,8/1/2020,Saturday,3109 E SHADOWLAWN AVE NE,Buckhead Village,33.83982,-84.37388,13121,Fulton
202140298,2020,8/1/2020,Saturday,490 WHITEHALL ST SW,Castleberry Hill,33.74348,-84.40341,13121,Fulton
202140325,2020,8/1/2020,Saturday,2524 METROPOLITAN PKWY SW,Perkerson,33.68608,-84.40812,13121,Fulton
202140532,2020,8/1/2020,Saturday,899 MAYSON TURNER RD NW,Vine City,33.75703,-84.41673,13121,Fulton
202141414,2020,8/1/2020,Saturday,2065 ALISON CT SW,Campbellton Road,33.7008,-84.45606,13121,Fulton
202151175,2020,8/1/2020,Saturday,2800 MARTIN L KING JR DR SW,Harland Terrace,33.75331,-84.47979,13121,Fulton
202140265,2020,8/1/2020,Saturday,3170 DONULLLD LEE HOLLOWELL PKWY NW,Collier Heights,33.78577,-84.49055,13121,Fulton
202161502,2020,8/3/2020,Monday,2459 PIEDMONT RD NE,Lindbergh/Morosgo,33.82259,-84.36722,13121,Fulton
202160286,2020,8/3/2020,Monday,2960 PIEDMONT RD NE,Garden Hills,33.83512,-84.36811,13121,Fulton
202160254,2020,8/3/2020,Monday,55 IVAN ALLEN JR BLVD NW,Downtown,33.76502,-84.38985,13121,Fulton
202160196,2020,8/3/2020,Monday,3088 CAMPBELLTON RD SW,Southwest,33.69365,-84.48861,13121,Fulton
202170658,2020,8/4/2020,Tuesday,2561 PIEDMONT RD NE,Lindbergh/Morosgo,33.82561,-84.36464,13121,Fulton
202170488,2020,8/4/2020,Tuesday,2891 SPRINGDALE RD SW,Hammond Park,33.67628,-84.41592,13121,Fulton
202180168,2020,8/5/2020,Wednesday,620 MARY ST SW,Pittsburgh,33.72925,-84.40785,13121,Fulton
202191270,2020,8/6/2020,Thursday,3894 JONESBORO RD SE,South River Gardens,33.64822,-84.36502,13121,Fulton
202190565,2020,8/6/2020,Thursday,998 CHARLES ALLEN DR NE,Midtown,33.7816,-84.37292,13121,Fulton
202190896,2020,8/6/2020,Thursday,1955 COMPTON DR SE @SOUTH BEND PARK,Lakewood Heights,33.7009,-84.38279,13121,Fulton
202191782,2020,8/6/2020,Thursday,967 DIMMOCK ST SW,Oakland City,33.72687,-84.41909,13121,Fulton
202190204,2020,8/6/2020,Thursday,142 HOLLY RD NW,West Lake,33.75915,-84.43802,13121,Fulton
202201018,2020,8/7/2020,Friday,301 PINE ST NW,Downtown,33.76801,-84.39585,13121,Fulton
202200279,2020,8/7/2020,Friday,350 PEEPLES ST SW,Harris Chiles,33.74504,-84.42039,13121,Fulton
202210096,2020,8/8/2020,Saturday,227 COURTLAND ST NE,Downtown,33.76067,-84.38354,13121,Fulton
202211893,2020,8/8/2020,Saturday,3285 MARTIN L KING JR DR SW,,33.75284,-84.49256,13121,Fulton
202221251,2020,8/9/2020,Sunday,3639 PEACHTREE RD NE,Ridgedale Park,33.85373,-84.35777,13121,Fulton
202220541,2020,8/9/2020,Sunday,815 SIDNEY MARCUS BLVD NE,Lindbergh/Morosgo,33.82414,-84.36101,13121,Fulton
202230354,2020,8/10/2020,Monday,1770 RICHMOND CIR,Lakewood Heights,33.70695,-84.37414,13121,Fulton
202230801,2020,8/10/2020,Monday,2115 HOLLYWOOD DR NW,Almond Park,33.78319,-84.45726,13121,Fulton
202241839,2020,8/11/2020,Tuesday,834 HANK AARON DR SE,Summerhill,33.73206,-84.38764,13121,Fulton
